pathway,hugo_gene
DPP_signaling_pathway,Twsg1
Isoleucine biosynthesis,Bcat1
Isoleucine biosynthesis,Bcat2
Isoleucine biosynthesis,Ilvbl
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rhob
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rhoc
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Gna11
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rgs8
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Gngt2
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Itpr3
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Arhgef1
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rap1a
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Cltc
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Gnb4
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Prkcz
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Prkch
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rgs16
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rgs14
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Cltb
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rhoa
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Sstr4
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Prkcd
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Prkcq
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Itpr2
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Prkce
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Grk6
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Adora2a
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Grk2
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rgs3
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rgs19
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Sstr2
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rgs2
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Gnb2
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Gna15
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Gng5
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Clta
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rap1b
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rgs1
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Itpr1
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Gnb1
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Prkca
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Sstr3
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Gng10
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Sstr1
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Tcf3
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Gpsm2
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Gng2
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rasgrp2
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Prkcb
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,Rasgrp1
DPP-SCW_signaling_pathway,Twsg1
T cell activation,Fos
T cell activation,Kras
T cell activation,Cd247
T cell activation,Grb2
T cell activation,Jun
T cell activation,Araf
T cell activation,Pik3cg
T cell activation,Lat
T cell activation,Rac1
T cell activation,Mapk9
T cell activation,Csk
T cell activation,Pik3r1
T cell activation,Nfkbia
T cell activation,Cd80
T cell activation,Ptprc
T cell activation,Cd74
T cell activation,Cd28
T cell activation,Trbc2
T cell activation,Lck
T cell activation,Cd3d
T cell activation,Ppp3ca
T cell activation,Itpr1
T cell activation,Mapk3
T cell activation,Ppp3cc
T cell activation,Ikbkb
T cell activation,Cd86
T cell activation,Mapk1
T cell activation,Pik3c3
T cell activation,H2-DMa
T cell activation,H2-Aa
T cell activation,Akt1
T cell activation,Rac2
T cell activation,Nfkb2
T cell activation,Cdc42
T cell activation,Calm3
T cell activation,Map3k1
T cell activation,Cd3e
T cell activation,Pak2
T cell activation,Calm1
T cell activation,Cd3g
T cell activation,Akt2
T cell activation,Pik3ca
T cell activation,Lcp2
T cell activation,Pik3cd
T cell activation,Sos1
T cell activation,Prkcq
T cell activation,Plcg1
T cell activation,Nfkb1
T cell activation,Hras
T cell activation,Nfatc3
T cell activation,Ppp3cb
T cell activation,Trbc1
T cell activation,Sos2
T cell activation,Braf
T cell activation,B2m
T cell activation,Nck1
T cell activation,Nras
T cell activation,Vav1
T cell activation,Nfatc2
T cell activation,Nfatc1
T cell activation,Map2k1
T cell activation,Map2k2
T cell activation,Raf1
T cell activation,Pak3
T cell activation,Chuk
T cell activation,Vav3
T cell activation,Grap2
T cell activation,Zap70
T cell activation,Calm2
Transcription regulation by bZIP transcription factor,Polr2c
Transcription regulation by bZIP transcription factor,Taf6
Transcription regulation by bZIP transcription factor,Polr2l
Transcription regulation by bZIP transcription factor,Prkar1a
Transcription regulation by bZIP transcription factor,Creb1
Transcription regulation by bZIP transcription factor,Brf1
Transcription regulation by bZIP transcription factor,Ctdp1
Transcription regulation by bZIP transcription factor,Ep300
Transcription regulation by bZIP transcription factor,Polr2i
Transcription regulation by bZIP transcription factor,Taf7
Transcription regulation by bZIP transcription factor,Taf12
Transcription regulation by bZIP transcription factor,Ttf1
Transcription regulation by bZIP transcription factor,Crebbp
Transcription regulation by bZIP transcription factor,Gtf2h3
Transcription regulation by bZIP transcription factor,Psmc3ip
Transcription regulation by bZIP transcription factor,Polr2f
Transcription regulation by bZIP transcription factor,Tbpl1
Transcription regulation by bZIP transcription factor,Prkar2a
Transcription regulation by bZIP transcription factor,Polr2h
Transcription regulation by bZIP transcription factor,Gtf2f2
Transcription regulation by bZIP transcription factor,Gtf2e1
Transcription regulation by bZIP transcription factor,Gtf2h4
Transcription regulation by bZIP transcription factor,Gtf2a2
Transcription regulation by bZIP transcription factor,Cfap20
Transcription regulation by bZIP transcription factor,Gtf2b
Transcription regulation by bZIP transcription factor,Creb3
Transcription regulation by bZIP transcription factor,Gtf2f1
Transcription regulation by bZIP transcription factor,Taf8
Transcription regulation by bZIP transcription factor,Polr2e
Transcription regulation by bZIP transcription factor,Taf2
Transcription regulation by bZIP transcription factor,Gtf2e2
Transcription regulation by bZIP transcription factor,Taf11
Transcription regulation by bZIP transcription factor,Ttf2
Transcription regulation by bZIP transcription factor,Taf1c
Transcription regulation by bZIP transcription factor,Crem
Transcription regulation by bZIP transcription factor,Creb3l2
Transcription regulation by bZIP transcription factor,Gtf2h1
Transcription regulation by bZIP transcription factor,Taf9b
Transcription regulation by bZIP transcription factor,Tbp
Transcription regulation by bZIP transcription factor,Polr2d
p53 pathway,Dgka
p53 pathway,Mdm2
p53 pathway,Gadd45g
p53 pathway,Pik3c2a
p53 pathway,Pik3cg
p53 pathway,Sin3a
p53 pathway,Ddb2
p53 pathway,Sumo3
p53 pathway,Ppp2cb
p53 pathway,Sirt1
p53 pathway,Tp53
p53 pathway,Pik3r1
p53 pathway,Ccnb1
p53 pathway,Kat6b
p53 pathway,Hdac1
p53 pathway,Crebbp
p53 pathway,Bax
p53 pathway,E2f3
p53 pathway,Atr
p53 pathway,Fas
p53 pathway,Mdm4
p53 pathway,Traf6
p53 pathway,Cdk1
p53 pathway,Sfn
p53 pathway,Ccng1
p53 pathway,Hmgb1
p53 pathway,Mta2
p53 pathway,Pik3c3
p53 pathway,Akt1
p53 pathway,Cdk2
p53 pathway,Cdkn2d
p53 pathway,Ppp2ca
p53 pathway,Cdkn1a
p53 pathway,Perp
p53 pathway,Rrm2
p53 pathway,Gadd45b
p53 pathway,Pmaip1
p53 pathway,Ccne1
p53 pathway,Pdpk1
p53 pathway,Akt2
p53 pathway,Pik3ca
p53 pathway,Cd82
p53 pathway,Ep300
p53 pathway,Zmat3
p53 pathway,Acaca
p53 pathway,Pik3r5
p53 pathway,Pik3cd
p53 pathway,Traf2
p53 pathway,Pml
p53 pathway,Sumo2
p53 pathway,Cdk5
p53 pathway,Wrn
p53 pathway,Cdc25a
p53 pathway,Cdkn2c
p53 pathway,Sumo1
p53 pathway,Apaf1
p53 pathway,Ppm1d
p53 pathway,Hdac2
p53 pathway,Atm
p53 pathway,Pten
Histamine H1 receptor mediated signaling pathway,Plcl2
Histamine H1 receptor mediated signaling pathway,Gna11
Histamine H1 receptor mediated signaling pathway,Gngt2
Histamine H1 receptor mediated signaling pathway,Gnb2
Histamine H1 receptor mediated signaling pathway,Itpr3
Histamine H1 receptor mediated signaling pathway,Gng5
Histamine H1 receptor mediated signaling pathway,Gnb4
Histamine H1 receptor mediated signaling pathway,Itpr1
Histamine H1 receptor mediated signaling pathway,Gnb1
Histamine H1 receptor mediated signaling pathway,Prkcz
Histamine H1 receptor mediated signaling pathway,Prkch
Histamine H1 receptor mediated signaling pathway,Prkca
Histamine H1 receptor mediated signaling pathway,Gng10
Histamine H1 receptor mediated signaling pathway,Prkcd
Histamine H1 receptor mediated signaling pathway,Tcf3
Histamine H1 receptor mediated signaling pathway,Prkcq
Histamine H1 receptor mediated signaling pathway,Itpr2
Histamine H1 receptor mediated signaling pathway,Plcg1
Histamine H1 receptor mediated signaling pathway,Prkce
Histamine H1 receptor mediated signaling pathway,Gng2
Histamine H1 receptor mediated signaling pathway,Prkcb
Vitamin D metabolism and pathway,Cox15
Vitamin D metabolism and pathway,Por
Vitamin D metabolism and pathway,Rara
Vitamin D metabolism and pathway,Fdx2
Vitamin D metabolism and pathway,Fdx1
Vitamin D metabolism and pathway,Fdxr
p53 pathway by glucose deprivation,Tsc2
p53 pathway by glucose deprivation,Rheb
p53 pathway by glucose deprivation,Akt2
p53 pathway by glucose deprivation,Rps6kb2
p53 pathway by glucose deprivation,Ppp2cb
p53 pathway by glucose deprivation,Prkab1
p53 pathway by glucose deprivation,Stk11
p53 pathway by glucose deprivation,Tp53
p53 pathway by glucose deprivation,Eif4ebp1
p53 pathway by glucose deprivation,Igbp1
p53 pathway by glucose deprivation,Prkaa1
p53 pathway by glucose deprivation,Mtor
p53 pathway by glucose deprivation,Akt1
p53 pathway by glucose deprivation,Prkag1
p53 pathway by glucose deprivation,Ppp2ca
p53 pathway by glucose deprivation,Rps6kb1
DNA replication,Rfc2
DNA replication,Top1
DNA replication,Blm
DNA replication,Xrn1
DNA replication,Rpa2
DNA replication,Rfc4
DNA replication,Pold2
DNA replication,Xrn2
DNA replication,Prim1
DNA replication,Top2a
DNA replication,Pola1
DNA replication,Top2b
DNA replication,Rfc3
DNA replication,Rtcb
DNA replication,Prim2
DNA replication,Rfc5
DNA replication,Rnaseh1
DNA replication,Rfc1
DNA replication,Pcna
DNA replication,H3c11
DNA replication,Pold1
Beta1 adrenergic receptor signaling pathway,Vamp2
Beta1 adrenergic receptor signaling pathway,Prkar2a
Beta1 adrenergic receptor signaling pathway,Gngt2
Beta1 adrenergic receptor signaling pathway,Gnb2
Beta1 adrenergic receptor signaling pathway,Snap23
Beta1 adrenergic receptor signaling pathway,Vamp3
Beta1 adrenergic receptor signaling pathway,Prkaca
Beta1 adrenergic receptor signaling pathway,Gng5
Beta1 adrenergic receptor signaling pathway,Snap29
Beta1 adrenergic receptor signaling pathway,Gnas
Beta1 adrenergic receptor signaling pathway,Gnb4
Beta1 adrenergic receptor signaling pathway,Gnb1
Beta1 adrenergic receptor signaling pathway,Prkacb
Beta1 adrenergic receptor signaling pathway,Prkx
Beta1 adrenergic receptor signaling pathway,Gng10
Beta1 adrenergic receptor signaling pathway,Tcf3
Beta1 adrenergic receptor signaling pathway,Adrb1
Beta1 adrenergic receptor signaling pathway,Mrpl16
Beta1 adrenergic receptor signaling pathway,Gng2
Beta1 adrenergic receptor signaling pathway,Adcy7
Beta1 adrenergic receptor signaling pathway,Vamp8
5HT1 type receptor mediated signaling pathway,Vamp2
5HT1 type receptor mediated signaling pathway,Prkar2a
5HT1 type receptor mediated signaling pathway,Gngt2
5HT1 type receptor mediated signaling pathway,Gnb2
5HT1 type receptor mediated signaling pathway,Snap23
5HT1 type receptor mediated signaling pathway,Vamp3
5HT1 type receptor mediated signaling pathway,Prkaca
5HT1 type receptor mediated signaling pathway,Gng5
5HT1 type receptor mediated signaling pathway,Snap29
