pathway_accession,mapped_ids,pathway,components,subfamilies,associated_sequence,hugo_gene
P06213,MOUSE|MGI=MGI=2137520|UniProtKB=Q9EP52,DPP_signaling_pathway,19,13,13,Twsg1
P02748,MOUSE|MGI=MGI=104861|UniProtKB=P24288,Isoleucine biosynthesis,5,29,140,Bcat1
P02748,MOUSE|MGI=MGI=1276534|UniProtKB=O35855,Isoleucine biosynthesis,5,29,140,Bcat2
P02748,MOUSE|MGI=MGI=1351911|UniProtKB=Q8BU33,Isoleucine biosynthesis,5,29,140,Ilvbl
P00027,MOUSE|MGI=MGI=107949|UniProtKB=P62746,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rhob
P00027,MOUSE|MGI=MGI=106028|UniProtKB=Q62159,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rhoc
P00027,MOUSE|MGI=MGI=95766|UniProtKB=P21278,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gna11
P00027,MOUSE|MGI=MGI=108408|UniProtKB=Q8BXT1,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rgs8
P00027,MOUSE|MGI=MGI=893584|UniProtKB=Q61017,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gngt2
P00027,MOUSE|MGI=MGI=96624|UniProtKB=P70227,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Itpr3
P00027,MOUSE|MGI=MGI=1353510|UniProtKB=Q61210,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Arhgef1
P00027,MOUSE|MGI=MGI=97852|UniProtKB=P62835,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rap1a
P00027,MOUSE|MGI=MGI=2388633|UniProtKB=Q68FD5,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Cltc
P00027,MOUSE|MGI=MGI=104581|UniProtKB=P29387,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gnb4
P00027,MOUSE|MGI=MGI=97602|UniProtKB=Q02956,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Prkcz
P00027,MOUSE|MGI=MGI=97600|UniProtKB=P23298,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Prkch
P00027,MOUSE|MGI=MGI=108407|UniProtKB=P97428,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rgs16
P00027,MOUSE|MGI=MGI=1859709|UniProtKB=P97492,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rgs14
