,mean,std,no_expr_cells,no_expr/total_cell
Mrpl15,0.3491024672985077,0.3557913899421692,2111.0,0.42406588991562877
Lypla1,0.23639774322509766,0.30376362800598145,2692.0,0.5407794294897549
Tcea1,0.5498487949371338,0.42064130306243896,1324.0,0.2659702691844114
Atp6v1h,0.1386824995279312,0.2522328794002533,3522.0,0.7075130574527922
Rb1cc1,0.1673053354024887,0.2866554856300354,3336.0,0.670148654077943
4732440D04Rik,0.024372434243559837,0.11751651763916016,4709.0,0.9459622338288469
Pcmtd1,0.12159674614667892,0.24836181104183197,3728.0,0.7488951386098834
Gm26901,0.0007028556428849697,0.01657898724079132,4966.0,0.9975893933306549
Rrs1,0.14867037534713745,0.2569471299648285,3410.0,0.6850140618722379
Adhfe1,0.0,0.0,4978.0,1.0
Mybl1,0.00596982566639781,0.04625695198774338,4880.0,0.9803133788670149
Vcpip1,0.08914623409509659,0.21229755878448486,4006.0,0.8047408597830454
1700034P13Rik,0.0032845723908394575,0.041967831552028656,4938.0,0.9919646444355162
Sgk3,0.004297065082937479,0.04647008702158928,4921.0,0.9885496183206107
Mcmdc2,0.00032728383666835725,0.009623040445148945,4972.0,0.9987946966653274
Snhg6,0.2423114776611328,0.312293142080307,2698.0,0.5419847328244275
Cops5,0.22007416188716888,0.29071617126464844,2804.0,0.5632784250703093
Cspp1,0.057064905762672424,0.16188576817512512,4274.0,0.8585777420650864
Arfgef1,0.0789073035120964,0.19430845975875854,4052.0,0.8139815186822017
Slco5a1,0.0002529895573388785,0.01050846092402935,4975.0,0.9993973483326637
Ncoa2,0.0723995715379715,0.18967576324939728,4148.0,0.8332663720369626
Tram1,0.47455891966819763,0.4110007882118225,1556.0,0.31257533145841704
Lactb2,0.08816269785165787,0.20502260327339172,3962.0,0.7959019686621133
Eya1,6.874730752315372e-05,0.0034389598295092583,4976.0,0.9995982322217758
Gm9947,0.0018791090697050095,0.030855216085910797,4953.0,0.9949779027721977
Msc,0.0027937740087509155,0.03403516858816147,4939.0,0.9921655283246283
Trpa1,0.00022566119150724262,0.007595565170049667,4973.0,0.9989955805544395
Terf1,0.12003129720687866,0.23998597264289856,3692.0,0.7416633186018481
Rpl7,1.8364986181259155,0.48068320751190186,97.0,0.019485737243873043
Rdh10,0.004418270196765661,0.04495447129011154,4918.0,0.9879469666532744
Stau2,0.00486609386280179,0.049267932772636414,4914.0,0.987143431096826
Ube2w,0.07858108729124069,0.1917530745267868,4069.0,0.8173965447971073
Eloc,0.6939299702644348,0.44201409816741943,1008.0,0.20249096022498997
Tmem70,0.11660061776638031,0.221775621175766,3636.0,0.7304138208115709
Ly96,0.004223465919494629,0.041243668645620346,4916.0,0.9875451988750502
Mcm3,0.4212875962257385,0.4432970881462097,2176.0,0.4371233427079148
6720483E21Rik,7.682079012738541e-05,0.0038599215913563967,4976.0,0.9995982322217758
Paqr8,0.002498523099347949,0.031761933118104935,4940.0,0.9923664122137404
Tram2,0.010638539679348469,0.07204882800579071,4839.0,0.972077139413419
Tmem14a,0.009628928266465664,0.06436839699745178,4839.0,0.972077139413419
Kcnq5,0.05308978259563446,0.15411049127578735,4306.0,0.8650060265166734
Ogfrl1,0.007390795275568962,0.05904630199074745,4881.0,0.980514262756127
B3gat2,0.004894774407148361,0.05090879276394844,4915.0,0.9873443149859381
Smap1,0.255879670381546,0.32907402515411377,2630.0,0.5283246283648051
Sdhaf4,0.12381979823112488,0.23655666410923004,3606.0,0.7243873041382081
Fam135a,0.00014966021990403533,0.006296808831393719,4975.0,0.9993973483326637
Lmbrd1,0.10386990755796432,0.2282879799604416,3869.0,0.7772197669746886
Phf3,0.22576141357421875,0.31555309891700745,2824.0,0.5672961028525513
Ptp4a1,0.003766592824831605,0.03952765092253685,4922.0,0.9887505022097228
Ptp4a1.1,0.15809695422649384,0.26806995272636414,3342.0,0.6713539574126155
Prim2,0.08987246453762054,0.19077685475349426,3876.0,0.7786259541984732
Rab23,0.027909403666853905,0.11475270241498947,4615.0,0.9270791482523102
Bag2,0.027133626863360405,0.11363431066274643,4618.0,0.9276817999196465
Zfp451,0.08714339137077332,0.19787943363189697,3954.0,0.7942948975492166
Bend6,0.0022458394523710012,0.03687800094485283,4952.0,0.9947770188830856
Dst,0.007997514680027962,0.06275429576635361,4880.0,0.9803133788670149
Gm37233,0.002342263236641884,0.037067655473947525,4952.0,0.9947770188830856
Ccdc115,0.09765982627868652,0.21195341646671295,3855.0,0.7744073925271193
Gm28306,0.0005717803142033517,0.017071250826120377,4971.0,0.9985938127762154
Imp4,0.21116003394126892,0.2917667329311371,2898.0,0.5821615106468461
Ptpn18,1.3595845699310303,0.47188305854797363,139.0,0.027922860586580955
Gm28417,0.009053068235516548,0.06608950346708298,4863.0,0.9768983527521092
4930568A12Rik,0.0009545522043481469,0.021156612783670425,4964.0,0.9971876255524307
Arhgef4,0.0036750168073922396,0.04456178843975067,4937.0,0.9917637605464041
Gm38336,0.00012807350140064955,0.005647547077387571,4975.0,0.9993973483326637
Fam168b,0.11545506119728088,0.2292318195104599,3695.0,0.7422659702691844
Plekhb2,0.1682494580745697,0.2806491255760193,3295.0,0.6619124146243471
Hs6st1,0.012928887270390987,0.08116518706083298,4813.0,0.9668541582965047
Gm33280,2.3323535060626455e-05,0.0016455906443297863,4977.0,0.9997991161108879
Uggt1,0.1260361671447754,0.24673599004745483,3616.0,0.7263961430293291
Neurl3,0.23953431844711304,0.39193615317344666,3128.0,0.6283648051426276
Arid5a,0.292742520570755,0.37409043312072754,2552.0,0.5126556850140619
4930403P22Rik,0.00029740110039711,0.010186005383729935,4973.0,0.9989955805544395
Kansl3,0.06888362020254135,0.18568280339241028,4194.0,0.8425070309361189
Lman2l,0.026205075904726982,0.11288446187973022,4645.0,0.9331056649256729
Cnnm4,0.012051145546138287,0.07521823793649673,4818.0,0.9678585777420651
Cnnm3,0.03364843875169754,0.12515726685523987,4544.0,0.9128163921253516
Ankrd23,0.005792967043817043,0.052198708057403564,4905.0,0.9853354760948172
Ankrd39,0.12544476985931396,0.2348003387451172,3580.0,0.7191643230212937
Sema4c,0.05393398180603981,0.1716141700744629,4386.0,0.8810767376456409
D430040D24Rik,0.0010555378394201398,0.02256232500076294,4964.0,0.9971876255524307
Fam178b,0.0041536432690918446,0.04714926704764366,4927.0,0.9897549216552832
Cox5b,1.7036421298980713,0.44546934962272644,122.0,0.02450783447167537
Actr1b,0.18028785288333893,0.2802828550338745,3146.0,0.6319807151466452
4933424G06Rik,0.0021798836532980204,0.03557721897959709,4956.0,0.995580554439534
Gm33533,0.0,0.0,4978.0,1.0
Zap70,0.579752504825592,0.42789146304130554,1223.0,0.24568099638409
Tmem131,0.07372362911701202,0.18915757536888123,4124.0,0.8284451586982724
Gm38115,0.0011399704962968826,0.022965895012021065,4963.0,0.9969867416633186
Vwa3b,0.00013641048280987889,0.00962443370372057,4977.0,0.9997991161108879
Inpp4a,0.0182929877191782,0.09784764796495438,4758.0,0.9558055443953395
Coa5,0.13730020821094513,0.24671566486358643,3487.0,0.700482121333869
Unc50,0.15528377890586853,0.25794631242752075,3320.0,0.6669345118521495
Mgat4a,0.01972983591258526,0.10477839410305023,4746.0,0.9533949377259944
2010300C02Rik,0.005081559997051954,0.04681561887264252,4909.0,0.9861390116512656
4930556I23Rik,0.00033758781501092017,0.013839703053236008,4975.0,0.9993973483326637
Tsga10,0.026430858299136162,0.10996730625629425,4636.0,0.9312977099236641
Lipt1,0.002631942741572857,0.03325549513101578,4937.0,0.9917637605464041
Mitd1,0.09598015248775482,0.21563927829265594,3910.0,0.7854560064282845
Mrpl30,0.4249624013900757,0.38757777214050293,1748.0,0.3511450381679389
Txndc9,0.26825010776519775,0.32171306014060974,2524.0,0.5070309361189232
Eif5b,0.3658486008644104,0.3734344244003296,2077.0,0.4172358376858176
Rev1,0.02551787719130516,0.11436145007610321,4664.0,0.9369224588188028
Aff3,0.01307009719312191,0.09837914258241653,4858.0,0.9758939333065488
Chst10,0.03112168237566948,0.1231965646147728,4584.0,0.9208517476898352
Pdcl3,0.2334774285554886,0.3038399815559387,2724.0,0.5472077139413419
Rpl31,1.589689016342163,0.462753564119339,160.0,0.03214142225793491
Tbc1d8,0.0003672317252494395,0.011690836399793625,4972.0,0.9987946966653274
Cnot11,0.15780946612358093,0.25448301434516907,3272.0,0.657292085174769
Gm15832,0.0007662642165087163,0.02192842960357666,4970.0,0.9983929288871033
Rnf149,0.05178152024745941,0.16750191152095795,4397.0,0.8832864604258739
Creg2,0.0007293563103303313,0.021069999784231186,4971.0,0.9985938127762154
Map4k4,0.1457836627960205,0.2758330702781677,3530.0,0.7091201285656891
Il1r2,0.14505161345005035,0.33246591687202454,3874.0,0.778224186420249
Gm16894,0.0026631932705640793,0.039892569184303284,4947.0,0.9937725994375252
Il1rl2,0.0013857377925887704,0.025891056284308434,4960.0,0.9963840899959823
Il1rl1,0.0020624883472919464,0.029731055721640587,4947.0,0.9937725994375252
Il18r1,0.21696065366268158,0.3284171223640442,3032.0,0.6090799517878666
Il18rap,0.17705611884593964,0.2998000383377075,3269.0,0.6566894335074327
Mfsd9,0.0018854262307286263,0.02836017683148384,4951.0,0.9945761349939735
Mrps9,0.12611959874629974,0.2320561707019806,3544.0,0.7119325030132584
Gpr45,0.004047749564051628,0.04851921275258064,4930.0,0.9903575733226195
Tgfbrap1,0.019789885729551315,0.10097981989383698,4733.0,0.9507834471675372
8430432A02Rik,0.0001905768585857004,0.00883321464061737,4975.0,0.9993973483326637
AI597479,0.017679400742053986,0.0936320573091507,4752.0,0.954600241060667
Fhl2,0.09844212979078293,0.22245123982429504,3923.0,0.7880674969867416
Nck2,0.01965382508933544,0.09700341522693634,4725.0,0.9491763760546404
Uxs1,0.05364228039979935,0.15701447427272797,4296.0,0.8629971876255524
Tpp2,0.2772795557975769,0.3396146893501282,2509.0,0.5040176777822418
Mettl21c,0.0008984546875581145,0.029272060841321945,4967.0,0.997790277219767
Gm8251,0.003450556192547083,0.04380035027861595,4933.0,0.9909602249899558
Tex30,0.14217977225780487,0.24059881269931793,3395.0,0.6820008035355565
Poglut2,0.02081478014588356,0.09223925322294235,4673.0,0.9387304138208116
Bivm,0.008311963640153408,0.06258729845285416,4869.0,0.9781036560867818
Ercc5,0.04109211638569832,0.13983015716075897,4467.0,0.8973483326637204
Wdr75,0.1898517906665802,0.28426429629325867,3093.0,0.6213338690237042
Slc39a10,0.03967984765768051,0.13515958189964294,4468.0,0.8975492165528325
Nabp1,0.3842146694660187,0.4163999557495117,2118.0,0.42547207713941343
Gm17767,0.005083788186311722,0.052438363432884216,4916.0,0.9875451988750502
Myo1b,0.0012501273304224014,0.023954177275300026,4961.0,0.9965849738850944
Stat4,0.4331227242946625,0.43713927268981934,1912.0,0.38408999598232224
Gm31812,0.0010897665051743388,0.020494207739830017,4961.0,0.9965849738850944
Stat1,0.7935584783554077,0.5477876663208008,873.0,0.17537163519485738
Gls,0.35501840710639954,0.37877750396728516,2122.0,0.4262756126958618
Nab1,0.3517487645149231,0.3734770715236664,2129.0,0.42768179991964644
Nemp2,0.06598752737045288,0.17479979991912842,4192.0,0.8421052631578947
Mfsd6,0.09810095280408859,0.22573401033878326,3934.0,0.7902772197669747
Gm29670,0.0003712823090609163,0.014163379557430744,4974.0,0.9991964644435516
Inpp1,0.15717941522598267,0.26733049750328064,3354.0,0.6737645640819606
Hibch,0.0629439428448677,0.16884106397628784,4193.0,0.8423061470470068
1700019D03Rik,0.039946574717760086,0.14965884387493134,4519.0,0.9077942948975493
Pms1,0.05911551043391228,0.16542214155197144,4251.0,0.8539574126155083
Ormdl1,0.1562000960111618,0.2626027762889862,3333.0,0.6695460024106067
Osgepl1,0.02623172476887703,0.10619381070137024,4616.0,0.9272800321414223
Asnsd1,0.0720289796590805,0.17745283246040344,4087.0,0.821012454801125
Stk17b,0.6983598470687866,0.4859275221824646,951.0,0.19104057854560064
Hecw2,0.00032535335049033165,0.011143780313432217,4973.0,0.9989955805544395
Gtf3c3,0.029944002628326416,0.11701920628547668,4576.0,0.9192446765769385
Pgap1,0.02871890552341938,0.12492718547582626,4642.0,0.9325030132583367
Ankrd44,0.22773408889770508,0.33335497975349426,2909.0,0.5843712334270792
4930444A19Rik,0.00023838806373532861,0.007824958302080631,4973.0,0.9989955805544395
Sf3b1,0.7915529608726501,0.4644694924354553,786.0,0.15789473684210525
Coq10b,0.2662535607814789,0.3376925587654114,2593.0,0.5208919244676576
Hspd1,0.9372127056121826,0.5884469747543335,895.0,0.17979108075532343
Hspe1,1.159682035446167,0.5488228797912598,462.0,0.09280835676978706
Mob4,0.2691989541053772,0.3326321840286255,2533.0,0.5088388911209321
Rftn2,7.475414167856798e-05,0.0052742743864655495,4977.0,0.9997991161108879
Mars2,0.024793727323412895,0.10986988991498947,4655.0,0.9351145038167938
Boll,0.00019811737001873553,0.008107327856123447,4975.0,0.9993973483326637
Plcl1,0.011993566527962685,0.07567969709634781,4817.0,0.967657693852953
4930558J18Rik,0.0036325217224657536,0.037371519953012466,4920.0,0.9883487344314986
1700066M21Rik,0.015998924151062965,0.08935855329036713,4771.0,0.9584170349537967
Tyw5,0.05204335227608681,0.15454359352588654,4321.0,0.8680192848533548
Maip1,0.10082530230283737,0.208126962184906,3785.0,0.7603455202892728
Kctd18,0.03202728554606438,0.12540827691555023,4571.0,0.918240257131378
Sgo2a,0.06983012706041336,0.17444337904453278,4111.0,0.8258336681398152
Bzw1,0.5081679821014404,0.4082808792591095,1513.0,0.303937324226597
Clk1,0.2740948796272278,0.35877007246017456,2613.0,0.5249096022498996
Ppil3,0.15555311739444733,0.2566816508769989,3306.0,0.6641221374045801
Nif3l1,0.052929263561964035,0.1561902016401291,4307.0,0.8652069104057855
Orc2,0.11404154449701309,0.21706081926822662,3665.0,0.7362394535958217
Gm15834,0.0007493151351809502,0.021281257271766663,4970.0,0.9983929288871033
Fam126b,0.01880895532667637,0.09388074278831482,4729.0,0.9499799116110887
Ndufb3,0.5306159257888794,0.4121769070625305,1356.0,0.2723985536359984
Cflar,0.12060844898223877,0.24700835347175598,3735.0,0.7503013258336682
Casp8,0.19912928342819214,0.2847658395767212,2972.0,0.597026918441141
Trak2,0.06640303879976273,0.17461971938610077,4169.0,0.8374849337083166
Stradb,0.02627217024564743,0.11068418622016907,4641.0,0.9323021293692246
Tmem237,0.05020119622349739,0.14732006192207336,4319.0,0.8676175170751306
G730003C15Rik,0.0011849876027554274,0.02407512068748474,4963.0,0.9969867416633186
Als2,0.028017424046993256,0.11744885891675949,4630.0,0.9300924065889916
Fzd7,0.0,0.0,4978.0,1.0
Sumo1,0.5310215353965759,0.4079480767250061,1367.0,0.2746082764162314
Nop58,0.49056071043014526,0.440839022397995,1744.0,0.35034150261149055
Bmpr2,0.008792230859398842,0.07217858731746674,4877.0,0.9797107271996786
Fam117b,0.18358434736728668,0.2877475619316101,3159.0,0.6345922057051024
Ica1l,0.0021059331484138966,0.0301633533090353,4949.0,0.9941743672157493
Wdr12,0.10068666934967041,0.2143232822418213,3837.0,0.7707914825231017
Carf,0.0030667847022414207,0.03773017227649689,4936.0,0.991562876657292
Nbeal1,0.025727637112140656,0.11353319883346558,4655.0,0.9351145038167938
Cyp20a1,0.058193761855363846,0.157804936170578,4224.0,0.8485335476094817
Abi2,0.023726917803287506,0.10344291478395462,4653.0,0.9347127360385697
Raph1,0.06782681494951248,0.17898325622081757,4177.0,0.8390920048212134
Cd28,0.34893447160720825,0.3979927897453308,2243.0,0.45058256327842505
Gm11579,0.0018103483598679304,0.031479429453611374,4955.0,0.9953796705504219
Ctla4,0.6952010989189148,0.5697192549705505,1253.0,0.2517075130574528
Icos,0.29289886355400085,0.4254860281944275,2809.0,0.5642828445158699
Pard3b,0.0015074433758854866,0.028672242537140846,4958.0,0.9959823222177582
Nrp2,0.00029803518555127084,0.014919932931661606,4976.0,0.9995982322217758
