,pathway_accession,mapped_ids,pathway,components,subfamilies,associated_sequence,hugo_gene
0,P06213,MOUSE|MGI=MGI=2137520|UniProtKB=Q9EP52,DPP_signaling_pathway,19,13,13,Twsg1
1,P02748,MOUSE|MGI=MGI=104861|UniProtKB=P24288,Isoleucine biosynthesis,5,29,140,Bcat1
2,P02748,MOUSE|MGI=MGI=1276534|UniProtKB=O35855,Isoleucine biosynthesis,5,29,140,Bcat2
3,P02748,MOUSE|MGI=MGI=1351911|UniProtKB=Q8BU33,Isoleucine biosynthesis,5,29,140,Ilvbl
4,P00027,MOUSE|MGI=MGI=107949|UniProtKB=P62746,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rhob
5,P00027,MOUSE|MGI=MGI=106028|UniProtKB=Q62159,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rhoc
6,P00027,MOUSE|MGI=MGI=95766|UniProtKB=P21278,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gna11
7,P00027,MOUSE|MGI=MGI=108408|UniProtKB=Q8BXT1,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rgs8
8,P00027,MOUSE|MGI=MGI=893584|UniProtKB=Q61017,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gngt2
9,P00027,MOUSE|MGI=MGI=96624|UniProtKB=P70227,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Itpr3
10,P00027,MOUSE|MGI=MGI=1353510|UniProtKB=Q61210,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Arhgef1
11,P00027,MOUSE|MGI=MGI=97852|UniProtKB=P62835,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rap1a
12,P00027,MOUSE|MGI=MGI=2388633|UniProtKB=Q68FD5,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Cltc
13,P00027,MOUSE|MGI=MGI=104581|UniProtKB=P29387,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gnb4
14,P00027,MOUSE|MGI=MGI=97602|UniProtKB=Q02956,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Prkcz
